@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R7-8-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
63,13,23,20,39,13,1
27,16,20,11,56,8,1
13,35,7,2,87,29,0
70,8,8,3,81,9,0
62,35,12,23,63,9,1
41,35,12,19,45,5,1
45,21,27,8,48,12,0
69,9,34,3,63,9,0
91,29,14,31,66,11,1
47,11,13,15,77,11,1
20,17,8,15,105,21,1
26,21,31,27,45,5,1
56,19,15,20,120,30,1
73,32,14,32,48,12,1
29,20,27,7,70,7,0
11,9,6,25,78,13,1
31,25,9,9,111,37,1
57,25,31,27,35,7,1
44,13,20,26,50,5,1
77,9,35,7,110,11,0
35,19,20,30,78,26,1
22,17,6,18,100,10,1
96,22,21,7,93,31,0
51,27,35,30,51,17,1
33,34,34,11,102,34,1
24,35,9,8,63,9,1
7,28,6,25,80,10,1
54,32,10,28,48,12,1
36,11,23,3,42,7,0
92,7,34,10,36,6,1
44,33,33,7,45,5,0
91,10,25,22,110,11,1
8,13,21,15,70,10,1
48,22,31,4,88,11,0
85,9,30,26,49,7,1
29,35,29,10,91,13,1
91,16,28,29,110,11,1
96,16,17,3,30,5,0
26,30,4,2,72,12,0
86,29,17,12,108,36,1
38,26,33,30,64,8,1
16,21,34,5,80,8,0
62,23,26,25,45,9,1
47,17,8,14,54,6,1
95,23,11,20,45,9,1
89,8,34,28,28,7,1
86,26,33,26,81,9,1
9,5,13,19,64,8,1
21,16,22,24,114,38,1
42,17,15,20,92,23,1
87,7,17,3,116,29,0
4,7,14,9,88,11,1
60,5,16,15,84,21,1
68,17,12,19,72,8,1
88,4,29,1,90,15,0
75,9,30,3,75,15,0
39,5,9,22,90,9,1
70,26,28,22,84,21,1
35,9,24,22,56,14,1
27,26,33,17,117,13,1
14,20,5,32,66,11,1
70,15,13,6,42,14,0
38,18,21,8,56,8,0
68,5,29,20,52,13,1
71,12,35,22,108,18,1
82,10,8,12,90,10,1
59,24,33,30,108,18,1
83,18,10,22,105,15,1
36,10,16,1,84,28,0
94,35,18,19,95,19,1
75,6,27,9,70,10,1
90,23,25,25,42,7,1
27,8,28,1,32,4,0
10,14,25,24,84,12,1
29,5,16,12,104,26,1
63,27,9,32,56,14,1
