% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
105309,44043,105427,4,96,192,94,4,2,24,24,21,69,23,74,100182,637
218537,107179,218548,4,96,192,81,4,2,31,19,11,60,12,94,70962,989
34838,15094,35430,4,96,192,81,4,2,31,19,11,60,12,42,77829,491
61651,28064,62418,4,96,192,81,4,2,31,19,11,60,12,59,77391,366
86897,38549,87584,4,96,192,81,4,2,31,19,11,60,12,68,77491,382
109988,47857,110594,4,96,192,81,4,2,31,19,11,60,12,74,78561,423
26179,11418,27210,4,96,192,6,4,2,30,8,27,60,12,32,12741,39345
5147,2634,4250,4,96,192,6,4,2,30,8,27,60,12,6,12717,962
8297,3656,8038,4,96,192,6,4,2,30,8,27,60,12,6,12690,586
12761,5577,12428,4,96,192,6,4,2,30,8,27,60,12,9,12835,414
16836,7441,16601,4,96,192,6,4,2,30,8,27,60,12,10,12886,376
82825,35900,83027,4,96,192,12,4,2,32,5,17,76,19,62,19171,5333
14379,6761,14736,4,96,192,12,4,2,32,5,17,76,19,13,19135,364
25998,11805,26143,4,96,192,12,4,2,32,5,17,76,19,18,19216,289
36641,16155,36889,4,96,192,12,4,2,32,5,17,76,19,24,19404,369
50013,22088,50499,4,96,192,12,4,2,32,5,17,76,19,30,19489,343
210957,100574,231531,4,96,192,61,4,2,10,26,18,99,11,94,61519,1797
63095,27581,40294,4,96,192,61,4,2,10,26,18,99,11,50,69954,522
68210,27999,68457,4,96,192,61,4,2,10,26,18,99,11,54,68959,502
98795,41093,99030,4,96,192,61,4,2,10,26,18,99,11,66,69270,435
126750,52976,126831,4,96,192,61,4,2,10,26,18,99,11,73,70600,538
96379,40989,96347,4,96,192,15,4,2,16,5,17,40,5,51,22631,11299
19206,8614,18889,4,96,192,15,4,2,16,5,17,40,5,15,22586,378
31268,13693,31121,4,96,192,15,4,2,16,5,17,40,5,21,22693,332
45685,19780,45684,4,96,192,15,4,2,16,5,17,40,5,27,22987,303
59475,25749,59414,4,96,192,15,4,2,16,5,17,40,5,33,23066,342
128337,66527,127901,4,96,192,47,4,2,20,11,5,110,11,90,42807,879
22069,9542,22453,4,96,192,47,4,2,20,11,5,110,11,25,45633,90
37038,16313,37595,4,96,192,47,4,2,20,11,5,110,11,33,44782,144
52876,23323,53403,4,96,192,47,4,2,20,11,5,110,11,42,44803,89
67656,30008,68184,4,96,192,47,4,2,20,11,5,110,11,51,45490,99
