% throughput ARFF file
@relation throughput

@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute throughput numeric

@data
4,96,192,39,4,2,26,13,20,72,8,164051
4,96,192,90,4,2,14,18,19,108,12,142355
4,96,192,82,4,2,30,5,21,80,20,120291
4,96,192,37,4,2,11,7,30,45,9,195893
4,96,192,59,4,2,11,32,16,84,14,207838
4,96,192,27,4,2,27,29,20,60,20,259919
4,96,192,87,4,2,13,18,27,68,17,178965
4,96,192,44,4,2,9,15,28,32,4,238666
4,96,192,37,4,2,18,22,21,52,13,257103
4,96,192,45,4,2,14,27,13,63,7,259652
4,96,192,22,4,2,26,19,19,116,29,174809
4,96,192,87,4,2,15,29,30,84,28,163489
4,96,192,4,4,2,7,25,5,70,7,42121
4,96,192,83,4,2,9,25,10,60,12,188378
4,96,192,76,4,2,8,29,22,80,8,184621
4,96,192,58,4,2,31,9,23,36,12,224572
4,96,192,37,4,2,11,6,12,105,21,125944
4,96,192,50,4,2,25,26,19,63,7,231290
4,96,192,80,4,2,7,27,32,60,12,201021
4,96,192,52,4,2,23,12,23,32,4,233752
4,96,192,47,4,2,25,31,8,60,10,267615
4,96,192,82,4,2,8,23,23,60,6,169316
4,96,192,87,4,2,23,8,12,78,13,178017
4,96,192,45,4,2,26,28,20,35,7,259599
4,96,192,20,4,2,28,20,21,60,12,234218
4,96,192,74,4,2,12,19,30,30,6,196926
4,96,192,82,4,2,22,10,22,60,6,166949
4,96,192,90,4,2,15,27,18,45,5,176935
4,96,192,57,4,2,32,14,8,76,19,226800
4,96,192,19,4,2,16,12,6,51,17,246398
4,96,192,72,4,2,25,30,17,30,3,210150
4,96,192,45,4,2,17,18,23,90,30,205454
4,96,192,92,4,2,32,12,7,60,6,161537
4,96,192,13,4,2,32,4,4,40,5,88043
4,96,192,55,4,2,31,21,7,45,15,258685
4,96,192,56,4,2,20,22,29,114,19,194193
4,96,192,91,4,2,31,30,24,49,7,182440
4,96,192,19,4,2,32,17,16,100,10,141573
4,96,192,7,4,2,10,29,31,56,7,24296
4,96,192,81,4,2,27,21,13,96,16,177181
4,96,192,13,4,2,27,24,31,66,22,128232
4,96,192,48,4,2,6,22,4,57,19,225363
4,96,192,94,4,2,13,23,15,117,39,187748
4,96,192,39,4,2,22,15,10,30,3,265801
4,96,192,53,4,2,12,25,10,33,11,286859
4,96,192,12,4,2,17,22,13,88,11,101746
4,96,192,40,4,2,20,15,7,81,9,164169
4,96,192,80,4,2,22,32,14,42,6,233574
4,96,192,4,4,2,4,18,16,105,35,22233
4,96,192,35,4,2,4,15,11,36,4,223288
4,96,192,92,4,2,28,4,21,36,4,140880
4,96,192,27,4,2,27,25,21,93,31,221620
4,96,192,95,4,2,27,25,11,52,13,192109
4,96,192,6,4,2,32,9,18,100,10,28204
4,96,192,14,4,2,24,20,4,119,17,119575
4,96,192,31,4,2,29,24,9,64,8,258490
4,96,192,21,4,2,11,26,4,48,12,238513
4,96,192,77,4,2,8,24,11,96,12,184145
4,96,192,51,4,2,25,31,11,90,9,194833
4,96,192,27,4,2,20,20,32,40,8,248795
4,96,192,41,4,2,28,14,13,76,19,254553
4,96,192,59,4,2,15,6,15,42,6,177336
4,96,192,83,4,2,32,27,17,33,11,198522
4,96,192,89,4,2,11,24,16,60,10,191853
4,96,192,44,4,2,7,24,27,64,16,238523
4,96,192,37,4,2,26,32,15,105,35,236163
