Timestamp,Use\g,Share\g,Cache\g,Buffer\g,Swap\g,Total\g
2015-10-14T10:12:45+08:00,390111232,0,300138496,213803008,18255872,4075216896
2015-10-14T10:13:00+08:00,391352320,0,300138496,213806284.8,18255872,4075216896
2015-10-14T10:13:15+08:00,393047244.8,0,300138496,213812838.4,18255872,4075216896
2015-10-14T10:13:30+08:00,394483848.53,0,300138496,213815296,18255872,4075216896
2015-10-14T10:13:45+08:00,395785830.4,0,300136857.6,213818572.8,18255872,4075216896
2015-10-14T10:14:00+08:00,397023914.67,0,300136311.47,213825399.47,18255872,4075216896
2015-10-14T10:14:15+08:00,401326353.07,0,300138496,213829495.47,18255872,4075216896
2015-10-14T10:14:30+08:00,405370470.4,0,300138496,213831680,18255872,4075216896
2015-10-14T10:14:45+08:00,405345075.2,0,300138496,213831680,18255872,4075216896
2015-10-14T10:15:00+08:00,405497446.4,0,300138496,213831680,18255872,4075216896
2015-10-14T10:15:15+08:00,410168524.8,0,300138496,213833318.4,18255872,4075216896
2015-10-14T10:15:30+08:00,416487560.53,0,300138496,213837687.47,18255872,4075216896
2015-10-14T10:15:45+08:00,416688537.6,0,300138496,213839872,18255872,4075216896
2015-10-14T10:16:00+08:00,416993280,0,300138496,213839872,18255872,4075216896
2015-10-14T10:16:15+08:00,416991641.6,0,300138496,213841510.4,18255872,4075216896
2015-10-14T10:16:30+08:00,417038336,0,300138496,213845606.4,18255872,4075216896
2015-10-14T10:16:45+08:00,417110698.67,0,300138496,213849429.33,18255872,4075216896
2015-10-14T10:17:00+08:00,417064277.33,0,300138496,213853525.33,18255872,4075216896
2015-10-14T10:17:15+08:00,417273173.33,0,300138496,213856256,18255872,4075216896
2015-10-14T10:17:30+08:00,417864362.67,0,300138496,213857621.33,18255872,4075216896
2015-10-14T10:17:45+08:00,417861632,0,300138496,213860352,18255872,4075216896
2015-10-14T10:18:00+08:00,417861632,0,300138496,213860352,18255872,4075216896
2015-10-14T10:18:15+08:00,417861632,0,300138496,213860352,18255872,4075216896
2015-10-14T10:18:30+08:00,417861632,0,300138496,213860352,18255872,4075216896
2015-10-14T10:18:45+08:00,419078417.07,0,300138496,213862536.53,18255872,4075216896
2015-10-14T10:19:00+08:00,422420480,0,300138496,213869909.33,18255872,4075216896
2015-10-14T10:19:15+08:00,422453248,0,300138496,213874005.33,18255872,4075216896
2015-10-14T10:19:30+08:00,422535168,0,300138496,213876736,18255872,4075216896
2015-10-14T10:19:45+08:00,422535168,0,300138496,213876736,18255872,4075216896
2015-10-14T10:20:00+08:00,422484377.6,0,300138496,213876736,18255872,4075216896
2015-10-14T10:20:15+08:00,422457344,0,300138496,213878374.4,18255872,4075216896
2015-10-14T10:20:30+08:00,422529433.6,0,300138496,213882470.4,18255872,4075216896
2015-10-14T10:20:45+08:00,422576674.13,0,300138496,213894485.33,18255872,4075216896
2015-10-14T10:21:00+08:00,422633472,0,300138496,213905408,18255872,4075216896
2015-10-14T10:21:15+08:00,422690816,0,300136584.53,213909230.93,18255872,4075216896
2015-10-14T10:21:30+08:00,422803865.6,0,300136038.4,213915238.4,18255872,4075216896
2015-10-14T10:21:45+08:00,422875136,0,300138496,213917696,18255872,4075216896
2015-10-14T10:22:00+08:00,422875136,0,300138496,213917696,18255872,4075216896
2015-10-14T10:22:15+08:00,422873497.6,0,300138496,213919334.4,18255872,4075216896
2015-10-14T10:22:30+08:00,422972620.8,0,300138496,213921792,18255872,4075216896
2015-10-14T10:22:45+08:00,423123626.67,0,300138496,213923157.33,18255872,4075216896
2015-10-14T10:23:00+08:00,423119530.67,0,300138496,213927253.33,18255872,4075216896
2015-10-14T10:23:15+08:00,423116800,0,300137130.67,213931349.33,18255872,4075216896
2015-10-14T10:23:30+08:00,423149568,0,300135492.27,213934080,18255872,4075216896
2015-10-14T10:23:45+08:00,423238587.73,0,300138496,213935172.27,18255872,4075216896
2015-10-14T10:24:00+08:00,423235584,0,300138496,213938176,18255872,4075216896
2015-10-14T10:24:15+08:00,423235584,0,300138496,213938176,18255872,4075216896
2015-10-14T10:24:30+08:00,423234218.67,0,300138496,213939541.33,18255872,4075216896
2015-10-14T10:24:45+08:00,423230395.73,0,300138496,213943364.27,18255872,4075216896
2015-10-14T10:25:00+08:00,423261252.27,0,300138496,213946368,18255872,4075216896
2015-10-14T10:25:15+08:00,423437653.33,0,300138496,213947733.33,18255872,4075216896
2015-10-14T10:25:30+08:00,423602858.67,0,300138496,213951829.33,18255872,4075216896
2015-10-14T10:25:45+08:00,423600128,0,300138496,213954560,18255872,4075216896
2015-10-14T10:26:00+08:00,423650918.4,0,300138496,213954560,18255872,4075216896
2015-10-14T10:26:15+08:00,423671398.4,0,300138496,213959475.2,18255872,4075216896
2015-10-14T10:26:30+08:00,423586474.67,0,300138496,213968213.33,18255872,4075216896
2015-10-14T10:26:45+08:00,423581013.33,0,300138496,213973674.67,18255872,4075216896
2015-10-14T10:27:00+08:00,423617877.33,0,300138496,213979136,18255872,4075216896
2015-10-14T10:27:15+08:00,423828138.67,0,300138496,213980501.33,18255872,4075216896
2015-10-14T10:27:30+08:00,424077994.67,0,300138496,213984597.33,18255872,4075216896
2015-10-14T10:27:45+08:00,424198144,0,300138496,213991424,18255872,4075216896
2015-10-14T10:28:00+08:00,424486229.33,0,300138496,213999616,18255872,4075216896
2015-10-14T10:28:15+08:00,424613205.33,0,300138496,213999616,18255872,4075216896
2015-10-14T10:28:30+08:00,424731716.27,0,300138496,213999616,18255872,4075216896
2015-10-14T10:28:45+08:00,424865792,0,300138496,214000981.33,18255872,4075216896
2015-10-14T10:29:00+08:00,425201664,0,300138496,214003712,18255872,4075216896
2015-10-14T10:29:15+08:00,426373120,0,300138496,214003712,18255872,4075216896
2015-10-14T10:29:30+08:00,428384256,0,300138496,214003712,18255872,4075216896
2015-10-14T10:29:45+08:00,429906329.6,0,300138496,214005350.4,18255872,4075216896
2015-10-14T10:30:00+08:00,429902233.6,0,300138496,214009446.4,18255872,4075216896
2015-10-14T10:30:15+08:00,429950566.4,0,300138496,214011904,18255872,4075216896
2015-10-14T10:30:30+08:00,430026752,0,300138496,214011904,18255872,4075216896
2015-10-14T10:30:45+08:00,429971046.4,0,300138496,214016819.2,18255872,4075216896
2015-10-14T10:31:00+08:00,429885849.6,0,300138496,214025830.4,18255872,4075216896
2015-10-14T10:31:15+08:00,429940736,0,300138496,214030199.47,18255872,4075216896
2015-10-14T10:31:30+08:00,430006272,0,300138496,214032384,18255872,4075216896
2015-10-14T10:31:45+08:00,430006272,0,300138496,214032384,18255872,4075216896
2015-10-14T10:32:00+08:00,429947016.53,0,300138496,214032384,18255872,4075216896
2015-10-14T10:32:15+08:00,429936640,0,300138496,214034295.47,18255872,4075216896
2015-10-14T10:32:30+08:00,430137617.07,0,300138496,214036480,18255872,4075216896
2015-10-14T10:32:45+08:00,430254216.53,0,300138496,214038391.47,18255872,4075216896
2015-10-14T10:33:00+08:00,430252032,0,300138496,214040576,18255872,4075216896
2015-10-14T10:33:15+08:00,430201241.6,0,300138496,214040576,18255872,4075216896
2015-10-14T10:33:30+08:00,430123690.67,0,300139861.33,214040576,18255872,4075216896
