% ARFF file
@relation stormSample

@attribute dataRate numeric
@attribute supervisors numeric
@attribute cpucores numeric
@attribute memory numeric
@attribute workers numeric
@attribute spouts numeric
@attribute bolts numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
41658,2,8,3.8,2,4,4,52,1087,1086
35612,2,8,3.8,2,4,4,47,1132,1992
32560,2,8,3.8,2,4,4,42,1170,1737
1709,2,8,3.8,6,8,4,6,1329,400
3867,2,8,3.8,6,8,4,11,1224,500
4927,2,8,3.8,6,8,4,11,1071,590
48442,2,8,3.8,6,8,4,84,1880,1780
41831,2,8,3.8,6,8,4,70,2095,3385
15399,2,8,3.8,6,8,4,31,2172,7654
35654,2,8,3.8,6,8,4,63,2173,1316
24917,2,8,3.8,6,8,4,47,2250,6798
28572,2,8,3.8,6,8,4,51,2291,4570
20203,2,8,3.8,6,8,4,34,2333,9384
1611,2,8,3.8,6,8,8,6,1400,473
12443,2,8,3.8,6,8,8,25,1443,250
7434,2,8,3.8,6,8,8,15,1592,168
11846,2,8,3.8,6,8,8,26,1669,106
2320,2,8,3.8,6,8,8,6,1795,979
15531,2,8,3.8,6,8,8,29,1799,151
6338,2,8,3.8,6,8,8,13,1799,370
37288,2,8,3.8,6,8,8,66,2009,4243
50279,2,8,3.8,6,8,8,89,2095,894
31723,2,8,3.8,6,8,8,57,2161,3929
1805,2,8,3.8,2,8,4,3,674,472
16352,2,8,3.8,2,8,4,24,949,8097
7619,2,8,3.8,2,8,4,12,980,837
6609,2,8,3.8,2,8,4,9,1003,9537
18302,2,8,3.8,2,8,4,22,1038,11315
5221,2,8,3.8,2,8,4,9,1068,7185
8955,2,8,3.8,2,8,4,13,1072,2108
26927,2,8,3.8,2,8,4,36,1104,1434
51382,2,8,3.8,2,8,4,67,1191,975
11690,2,8,3.8,2,8,4,16,1280,7326
780,2,8,3.8,6,4,16,5,1321,438
12206,2,8,3.8,6,4,16,25,1315,101
21626,2,8,3.8,6,4,16,43,1501,67
43472,2,8,3.8,6,4,16,87,1698,48
32466,2,8,3.8,6,4,16,67,1746,37
16372,2,8,3.8,6,4,16,35,1744,49
5634,2,8,3.8,6,4,16,12,1536,235
37906,2,8,3.8,6,4,16,77,1788,91
44653,2,8,3.8,6,4,16,89,1832,49
40705,2,8,3.8,6,4,16,79,1836,41
34776,2,8,3.8,6,4,16,71,1839,44
1609,2,8,3.8,6,8,8,6,1299,474
12470,2,8,3.8,6,8,8,25,1474,196
7453,2,8,3.8,6,8,8,16,1475,238
11932,2,8,3.8,6,8,8,21,1759,111
2253,2,8,3.8,6,8,8,6,1800,535
15349,2,8,3.8,6,8,8,29,1803,111
6433,2,8,3.8,6,8,8,14,1804,395
37597,2,8,3.8,6,8,8,64,2016,4089
42777,2,8,3.8,6,8,8,90,2098,1083
30396,2,8,3.8,6,8,8,58,2156,3859
3357,2,8,3.8,6,16,4,10,1498,470
6543,2,8,3.8,6,16,4,9,1730,11449
6155,2,8,3.8,6,16,4,13,1710,596
7773,2,8,3.8,6,16,4,21,1773,261
41282,2,8,3.8,6,16,4,71,1881,379
2975,2,8,3.8,6,16,4,10,1878,729
17290,2,8,3.8,6,16,4,31,1888,356
21212,2,8,3.8,6,16,4,41,1917,3477
6577,2,8,3.8,6,16,4,14,1908,479
1336,2,8,3.8,6,16,4,4,1711,2021
3493,2,8,3.8,6,16,16,10,1516,486
6929,2,8,3.8,6,16,16,12,1777,2781
15719,2,8,3.8,6,16,16,35,1953,12132
4855,2,8,3.8,6,16,16,10,1995,388
11127,2,8,3.8,6,16,16,25,1982,236
43309,2,8,3.8,6,16,16,88,2082,2653
5500,2,8,3.8,6,16,16,18,2188,473
31037,2,8,3.8,6,16,16,56,2247,3409
15640,2,8,3.8,6,16,16,43,2340,11299
1704,2,8,3.8,4,8,16,5,1050,475
19301,2,8,3.8,4,8,16,32,1389,8192
27475,2,8,3.8,4,8,16,44,1502,5075
38589,2,8,3.8,4,8,16,60,1537,1582
7062,2,8,3.8,4,8,16,13,1481,475
48371,2,8,3.8,4,8,16,78,1579,633
44889,2,8,3.8,4,8,16,70,1673,2541
13963,2,8,3.8,4,8,16,24,1725,6426
5626,2,8,3.8,4,8,16,10,1680,307
22419,2,8,3.8,4,8,16,36,1734,3390
808,2,8,3.8,6,4,8,4,1325,477
37603,2,8,3.8,6,4,8,71,1632,49
31125,2,8,3.8,6,4,8,61,1687,46
35132,2,8,3.8,6,4,8,66,1704,35
47470,2,8,3.8,6,4,8,86,1752,41
19916,2,8,3.8,6,4,8,42,1735,849
37671,2,8,3.8,6,4,8,71,1834,33
35586,2,8,3.8,6,4,8,66,1847,46
36937,2,8,3.8,6,4,8,68,1859,53
27968,2,8,3.8,6,4,8,52,1862,28
794,2,8,3.8,4,4,4,3,970,411
26109,2,8,3.8,4,4,4,46,1197,1581
25314,2,8,3.8,4,4,4,38,1373,231
1239,2,8,3.8,4,4,4,4,1413,1451
39508,2,8,3.8,4,4,4,58,1428,1433
46559,2,8,3.8,4,4,4,76,1494,694
6522,2,8,3.8,4,4,4,14,1329,216
10642,2,8,3.8,4,4,4,18,1355,65
22592,2,8,3.8,4,4,4,37,1521,2317
43612,2,8,3.8,4,4,4,69,1549,421
45900,2,8,3.8,4,4,4,75,1582,1441
806,2,8,3.8,6,4,8,4,1291,445
39275,2,8,3.8,6,4,8,71,1622,40
32364,2,8,3.8,6,4,8,60,1683,32
34780,2,8,3.8,6,4,8,64,1694,39
47165,2,8,3.8,6,4,8,86,1724,36
20811,2,8,3.8,6,4,8,40,1713,750
37435,2,8,3.8,6,4,8,69,1805,34
35505,2,8,3.8,6,4,8,66,1818,43
36411,2,8,3.8,6,4,8,68,1829,51
27836,2,8,3.8,6,4,8,52,1838,46
864,2,8,3.8,6,4,4,4,1273,471
8826,2,8,3.8,6,4,4,16,1208,195
43599,2,8,3.8,6,4,4,87,1656,64
39469,2,8,3.8,6,4,4,76,1723,141
28785,2,8,3.8,6,4,4,56,1743,50
28859,2,8,3.8,6,4,4,52,1783,43
36219,2,8,3.8,6,4,4,68,1794,43
29333,2,8,3.8,6,4,4,54,1821,46
40644,2,8,3.8,6,4,4,76,1839,376
38329,2,8,3.8,6,4,4,72,1845,46
861,2,8,3.8,6,4,4,4,1279,482
8847,2,8,3.8,6,4,4,15,1192,168
48261,2,8,3.8,6,4,4,87,1652,64
40747,2,8,3.8,6,4,4,77,1709,161
28546,2,8,3.8,6,4,4,55,1710,71
29478,2,8,3.8,6,4,4,54,1774,51
35830,2,8,3.8,6,4,4,68,1821,45
28987,2,8,3.8,6,4,4,54,1828,52
