@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R1-6,8-9,15-16-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<1000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.MathExpression-Eifelse(A<2000,0,1)-V-Rlast-weka.filters.unsupervised.attribute.NumericToNominal-Rlast'

@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute latency {0,1}

@data
48,20,5,14,30,10,1
41,12,13,20,30,10,1
35,23,6,23,30,10,1
12,19,18,5,30,10,0
34,13,17,19,30,10,1
15,23,17,8,30,10,0
6,20,9,12,30,10,1
5,15,5,14,30,10,1
7,11,17,4,30,10,0
53,12,4,7,30,10,0
21,15,11,22,30,10,1
46,4,21,18,30,10,1
44,15,17,20,30,10,1
23,20,18,18,30,10,1
47,12,12,11,30,10,1
30,11,17,19,30,10,1
13,12,15,15,30,10,0
6,12,20,6,30,10,0
53,8,18,11,30,10,1
34,20,10,5,30,10,0
34,12,19,8,30,10,0
43,15,19,17,30,10,1
35,18,19,17,30,10,1
42,8,5,8,30,10,0
40,14,23,17,30,10,1
49,15,12,23,30,10,1
8,10,23,16,30,10,1
50,18,19,14,30,10,1
25,8,15,21,30,10,1
27,22,6,19,30,10,1
20,18,17,14,30,10,0
24,5,5,18,30,10,1
14,9,12,21,30,10,1
39,22,15,6,30,10,0
33,23,23,23,30,10,1
36,16,19,14,30,10,1
15,12,13,19,30,10,1
15,20,14,12,30,10,0
44,20,13,6,30,10,0
37,23,21,4,30,10,0
42,22,15,11,30,10,0
20,5,4,14,30,10,1
40,16,4,4,30,10,0
35,6,22,18,30,10,1
39,6,11,8,30,10,0
50,11,18,12,30,10,1
19,17,9,7,30,10,0
4,22,12,19,30,10,1
18,17,10,14,30,10,1
40,16,19,17,30,10,1
8,21,4,4,30,10,0
22,7,16,18,30,10,1
45,5,9,16,30,10,1
20,11,17,10,30,10,0
38,4,18,9,30,10,0
50,22,23,21,30,10,1
50,4,17,11,30,10,1
47,9,9,7,30,10,0
4,9,5,21,30,10,1
41,20,17,8,30,10,0
35,5,7,16,30,10,1
18,13,13,18,30,10,1
23,14,9,17,30,10,1
37,4,19,14,30,10,1
6,4,11,8,30,10,0
6,6,10,23,30,10,1
45,10,20,10,30,10,0
4,18,16,4,30,10,0
8,13,9,17,30,10,1
41,16,16,20,30,10,1
52,12,11,8,30,10,0
12,8,8,15,30,10,1
5,19,10,4,30,10,0
26,19,19,12,30,10,0
28,18,14,18,30,10,1
35,8,22,11,30,10,0
40,20,13,14,30,10,1
33,4,20,20,30,10,1
36,19,19,17,30,10,1
53,18,4,14,30,10,1
9,12,5,10,30,10,1
39,9,9,13,30,10,1
51,15,15,16,30,10,1
17,19,23,5,30,10,0
24,13,15,15,30,10,1
14,7,8,8,30,10,0
11,11,17,21,30,10,1
34,22,12,22,30,10,1
41,21,12,22,30,10,1
4,19,20,21,30,10,1
42,9,16,23,30,10,1
20,6,21,4,30,10,0
31,10,23,16,30,10,1
53,6,19,22,30,10,1
50,14,5,23,30,10,1
27,5,17,16,30,10,1
30,18,6,22,30,10,1
8,13,20,4,30,10,0
13,19,12,20,30,10,1
15,4,19,4,30,10,0
26,14,16,6,30,10,0
47,9,17,16,30,10,1
19,7,14,12,30,10,0
48,23,18,16,30,10,1
8,5,20,6,30,10,0
46,22,18,21,30,10,1
7,16,5,23,30,10,1
51,6,20,7,30,10,0
34,19,11,5,30,10,0
46,7,18,21,30,10,1
25,5,17,20,30,10,1
9,6,7,9,30,10,0
42,19,14,7,30,10,0
22,6,13,13,30,10,0
27,8,22,22,30,10,1
35,5,13,10,30,10,0
34,9,5,10,30,10,0
7,21,21,5,30,10,0
6,14,9,22,30,10,1
51,19,11,13,30,10,1
10,4,11,5,30,10,0
18,10,7,4,30,10,0
20,11,23,23,30,10,1
40,19,7,13,30,10,1
6,11,4,14,30,10,1
28,19,5,17,30,10,1
7,7,10,12,30,10,1
5,15,13,16,30,10,1
28,5,12,4,30,10,0
18,22,17,4,30,10,0
26,21,12,18,30,10,1
21,5,12,16,30,10,1
46,8,21,20,30,10,1
5,16,18,4,30,10,0
51,22,21,19,30,10,1
28,11,9,6,30,10,0
32,11,4,12,30,10,1
25,8,18,16,30,10,1
11,15,21,6,30,10,0
52,7,16,9,30,10,0
5,7,22,10,30,10,1
27,23,9,4,30,10,0
11,4,9,8,30,10,0
9,5,18,4,30,10,0
35,4,16,16,30,10,1
21,14,7,4,30,10,0
40,15,23,14,30,10,1
39,13,7,15,30,10,1
9,15,4,8,30,10,0
37,8,20,19,30,10,1
36,20,14,11,30,10,0
6,15,23,19,30,10,1
53,14,11,18,30,10,1
26,14,14,7,30,10,0
11,13,10,21,30,10,1
8,19,16,12,30,10,0
32,13,21,5,30,10,0
7,14,23,23,30,10,1
30,9,15,12,30,10,0
26,19,18,9,30,10,0
48,22,15,5,30,10,0
23,14,9,8,30,10,0
53,13,10,8,30,10,0
41,19,20,6,30,10,0
48,11,19,11,30,10,1
36,14,12,22,30,10,1
6,22,16,23,30,10,1
13,14,12,21,30,10,1
37,12,9,18,30,10,1
33,23,8,13,30,10,1
26,5,10,16,30,10,1
24,21,6,19,30,10,1
41,14,9,9,30,10,0
45,19,19,20,30,10,1
16,7,15,4,30,10,0
6,9,13,20,30,10,1
22,10,17,11,30,10,0
23,17,23,12,30,10,0
30,9,11,23,30,10,1
33,21,21,19,30,10,1
20,8,4,11,30,10,1
7,10,5,9,30,10,1
6,10,11,6,30,10,0
20,7,11,20,30,10,1
51,13,12,13,30,10,1
13,9,14,15,30,10,0
40,9,14,5,30,10,0
22,5,19,18,30,10,1
40,16,23,14,30,10,1
14,21,18,18,30,10,1
43,18,17,17,30,10,1
49,9,20,4,30,10,0
51,5,22,19,30,10,1
37,11,23,17,30,10,1
50,11,9,5,30,10,0
23,15,19,21,30,10,1
29,16,15,4,30,10,0
42,20,8,20,30,10,1
23,5,9,18,30,10,1
35,19,21,16,30,10,1
27,16,21,23,30,10,1
36,4,9,19,30,10,1
37,16,20,22,30,10,1
5,5,11,13,30,10,1
25,18,8,9,30,10,0
48,5,6,4,30,10,0
24,7,18,9,30,10,0
22,11,6,21,30,10,1
38,5,12,19,30,10,1
36,20,15,22,30,10,1
35,9,5,16,30,10,1
45,7,13,4,30,10,0
36,6,9,13,30,10,1
31,4,9,17,30,10,1
33,7,18,14,30,10,1
30,8,11,16,30,10,1
5,16,23,15,30,10,1
22,16,6,19,30,10,1
39,4,7,20,30,10,1
36,10,7,8,30,10,0
11,13,6,15,30,10,1
42,4,17,13,30,10,1
6,15,21,5,30,10,0
15,7,12,9,30,10,0
25,8,16,4,30,10,0
38,18,18,10,30,10,0
16,23,12,19,30,10,1
12,18,4,23,30,10,1
10,23,12,9,30,10,0
7,8,21,15,30,10,1
8,14,16,5,30,10,0
20,9,19,13,30,10,0
19,8,15,16,30,10,1
49,9,17,22,30,10,1
23,4,18,6,30,10,0
50,21,4,6,30,10,0
26,9,9,16,30,10,1
52,23,23,6,30,10,0
44,14,13,18,30,10,1
32,22,22,15,30,10,1
32,6,13,15,30,10,1
37,6,23,17,30,10,1
12,18,7,16,30,10,1
33,6,14,22,30,10,1
20,17,10,9,30,10,0
17,14,19,14,30,10,0
11,11,6,17,30,10,1
37,8,21,10,30,10,0
4,20,8,10,30,10,1
26,19,12,23,30,10,1
31,23,15,5,30,10,0
21,20,18,21,30,10,1
4,17,20,7,30,10,0
21,10,15,9,30,10,0
16,10,21,12,30,10,0
24,8,13,14,30,10,1
14,8,7,16,30,10,1
13,12,16,6,30,10,0
40,13,13,23,30,10,1
22,22,19,13,30,10,0
41,13,20,13,30,10,1
48,8,21,9,30,10,0
20,16,14,10,30,10,0
19,6,6,5,30,10,0
32,8,11,16,30,10,1
51,14,4,13,30,10,1
46,17,13,15,30,10,1
47,7,16,23,30,10,1
6,19,7,16,30,10,1
40,20,6,18,30,10,1
47,21,6,17,30,10,1
17,15,20,14,30,10,1
26,17,17,4,30,10,0
29,6,9,21,30,10,1
36,17,19,7,30,10,0
16,17,4,7,30,10,0
16,7,6,4,30,10,0
52,4,20,5,30,10,0
10,4,14,4,30,10,0
34,5,17,7,30,10,0
11,4,7,18,30,10,1
10,19,21,13,30,10,0
45,4,19,9,30,10,0
13,9,5,21,30,10,1
10,20,8,9,30,10,0
16,9,9,21,30,10,1
30,16,10,11,30,10,0
32,22,10,18,30,10,1
4,5,12,10,30,10,1
11,9,23,21,30,10,1
49,11,18,10,30,10,1
23,21,15,9,30,10,0
38,5,5,10,30,10,0
51,21,14,17,30,10,1
31,18,14,17,30,10,1
38,4,6,8,30,10,0
14,10,23,12,30,10,0
42,12,15,18,30,10,1
5,13,12,21,30,10,1
35,17,5,5,30,10,0
13,10,15,21,30,10,1
13,11,13,22,30,10,1
49,6,17,9,30,10,0
31,19,19,11,30,10,0
27,15,10,7,30,10,0
29,7,12,15,30,10,1
5,15,12,5,30,10,0
