% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
67787,29245,67966,4,40,160,16,4,2,8,5,14,30,10,21,15250,602
103248,44553,103587,4,40,160,16,4,2,8,5,14,30,10,29,15872,561
132709,58464,133329,4,40,160,16,4,2,8,5,14,30,10,38,16039,622
237957,103915,240423,4,40,160,14,4,2,19,8,5,30,10,71,13952,546
58325,25184,58821,4,40,160,14,4,2,19,8,5,30,10,19,13772,487
102201,44305,102353,4,40,160,14,4,2,19,8,5,30,10,28,14267,410
131206,58157,131693,4,40,160,14,4,2,19,8,5,30,10,36,14656,367
153003,67416,153865,4,40,160,14,4,2,19,8,5,30,10,41,14822,375
150070,55776,152481,4,40,160,47,4,2,20,8,18,30,10,87,23394,3572
43005,18550,43259,4,40,160,47,4,2,20,8,18,30,10,22,26233,3093
74470,30246,74675,4,40,160,47,4,2,20,8,18,30,10,33,26185,728
107366,43946,108195,4,40,160,47,4,2,20,8,18,30,10,45,27002,611
137271,56580,138345,4,40,160,47,4,2,20,8,18,30,10,55,28272,507
201046,89778,205337,4,40,160,30,4,2,15,18,6,30,10,76,18566,672
46711,19949,46816,4,40,160,30,4,2,15,18,6,30,10,19,20393,597
78446,33054,78633,4,40,160,30,4,2,15,18,6,30,10,31,20299,297
109975,46551,110460,4,40,160,30,4,2,15,18,6,30,10,41,20849,230
133549,56412,134303,4,40,160,30,4,2,15,18,6,30,10,48,21637,205
168900,72222,170936,4,40,160,41,4,2,17,16,8,30,10,81,21817,1300
39068,16972,39255,4,40,160,41,4,2,17,16,8,30,10,19,24995,1162
72198,30449,72453,4,40,160,41,4,2,17,16,8,30,10,32,23324,438
101015,43123,101575,4,40,160,41,4,2,17,16,8,30,10,43,24165,343
125431,53622,126249,4,40,160,41,4,2,17,16,8,30,10,52,25526,287
187667,79346,191309,4,40,160,26,4,2,11,22,18,30,10,81,19111,2954
48511,21024,47767,4,40,160,26,4,2,11,22,18,30,10,20,20725,2554
84742,36533,85313,4,40,160,26,4,2,11,22,18,30,10,30,20751,657
121539,52407,122594,4,40,160,26,4,2,11,22,18,30,10,40,21161,539
151502,65708,152855,4,40,160,26,4,2,11,22,18,30,10,49,21557,471
190828,81931,194018,4,40,160,21,4,2,12,13,23,30,10,79,17599,4053
45237,19968,44800,4,40,160,21,4,2,12,13,23,30,10,18,18157,3506
86429,37129,86742,4,40,160,21,4,2,12,13,23,30,10,29,18399,736
125827,54394,126569,4,40,160,21,4,2,12,13,23,30,10,37,19004,668
161756,69847,163597,4,40,160,21,4,2,12,13,23,30,10,47,19205,595
158518,65759,160678,4,40,160,39,4,2,19,19,14,30,10,84,21865,2766
47997,20639,48154,4,40,160,39,4,2,19,19,14,30,10,22,24414,2304
88161,37497,88835,4,40,160,39,4,2,19,19,14,30,10,38,24542,558
125077,53823,126345,4,40,160,39,4,2,19,19,14,30,10,50,25683,432
153029,65396,154701,4,40,160,39,4,2,19,19,14,30,10,59,26660,371
161283,67494,163636,4,40,160,31,4,2,11,17,21,30,10,81,20634,4209
44410,19140,43895,4,40,160,31,4,2,11,17,21,30,10,19,23228,3599
81504,34733,81787,4,40,160,31,4,2,11,17,21,30,10,31,23511,734
118556,50785,119231,4,40,160,31,4,2,11,17,21,30,10,42,24235,620
151409,64646,152349,4,40,160,31,4,2,11,17,21,30,10,51,24675,536
98438,41085,100408,4,40,160,7,4,2,9,11,20,30,10,46,11467,6267
10098,4607,9445,4,40,160,7,4,2,9,11,20,30,10,3,11138,6374
18725,7922,18712,4,40,160,7,4,2,9,11,20,30,10,6,10959,792
28481,12078,28498,4,40,160,7,4,2,9,11,20,30,10,8,11187,704
37089,15719,37125,4,40,160,7,4,2,9,11,20,30,10,11,11315,652
181231,78788,183130,4,40,160,42,4,2,18,18,7,30,10,82,22111,936
46181,20893,46256,4,40,160,42,4,2,18,18,7,30,10,22,25432,788
82607,37332,83197,4,40,160,42,4,2,18,18,7,30,10,38,24326,326
115657,52202,116260,4,40,160,42,4,2,18,18,7,30,10,50,25237,240
41837,19159,45248,4,40,160,42,4,2,18,18,7,30,10,22,23093,144
168867,70207,169786,4,40,160,43,4,2,11,15,5,30,10,79,20942,627
45561,19335,45560,4,40,160,43,4,2,11,15,5,30,10,21,24055,553
78698,33157,78804,4,40,160,43,4,2,11,15,5,30,10,36,24079,215
106590,45636,107205,4,40,160,43,4,2,11,15,5,30,10,46,24540,144
130264,55343,130701,4,40,160,43,4,2,11,15,5,30,10,55,25596,121
176809,75350,179412,4,40,160,37,4,2,14,14,10,30,10,82,21232,1635
50096,21486,50065,4,40,160,37,4,2,14,14,10,30,10,22,23187,1379
88100,37446,88509,4,40,160,37,4,2,14,14,10,30,10,36,22919,410
123480,52971,124560,4,40,160,37,4,2,14,14,10,30,10,48,24382,298
152312,65810,153567,4,40,160,37,4,2,14,14,10,30,10,57,25011,264
181913,78575,183902,4,40,160,43,4,2,14,11,4,30,10,81,20936,379
36251,15428,36304,4,40,160,43,4,2,14,11,4,30,10,17,23246,355
61187,25925,60913,4,40,160,43,4,2,14,11,4,30,10,29,22805,245
86742,36919,86842,4,40,160,43,4,2,14,11,4,30,10,39,22628,186
106665,45192,106814,4,40,160,43,4,2,14,11,4,30,10,46,23074,148
198942,84440,202298,4,40,160,27,4,2,5,22,17,30,10,82,19769,2629
43069,18168,42348,4,40,160,27,4,2,5,22,17,30,10,17,21790,2338
80527,33714,81065,4,40,160,27,4,2,5,22,17,30,10,30,21651,668
114153,47783,114566,4,40,160,27,4,2,5,22,17,30,10,38,22100,588
150720,64009,151611,4,40,160,27,4,2,5,22,17,30,10,48,22416,601
213915,88778,215956,4,40,160,16,4,2,22,10,9,30,10,71,15554,1260
41090,17562,40896,4,40,160,16,4,2,22,10,9,30,10,15,15645,1155
79412,34059,79661,4,40,160,16,4,2,22,10,9,30,10,24,15808,433
113657,48515,113985,4,40,160,16,4,2,22,10,9,30,10,32,16241,331
144131,61897,144671,4,40,160,16,4,2,22,10,9,30,10,40,16381,374
174329,73428,176216,4,40,160,37,4,2,22,19,13,30,10,84,21963,2178
37588,16380,37590,4,40,160,37,4,2,22,19,13,30,10,18,25238,1907
72158,31444,72516,4,40,160,37,4,2,22,19,13,30,10,31,25163,589
103919,45239,104635,4,40,160,37,4,2,22,19,13,30,10,42,25935,423
133673,58124,134383,4,40,160,37,4,2,22,19,13,30,10,52,26683,318
160590,67438,163177,4,40,160,42,4,2,18,17,14,30,10,85,22297,2605
42785,18199,42768,4,40,160,42,4,2,18,17,14,30,10,20,25079,2244
75808,31970,76043,4,40,160,42,4,2,18,17,14,30,10,33,24435,618
112108,46874,112824,4,40,160,42,4,2,18,17,14,30,10,45,25591,451
138738,57948,140379,4,40,160,42,4,2,18,17,14,30,10,54,26821,375
222440,93587,225103,4,40,160,13,4,2,16,13,12,30,10,70,14360,1527
51165,21963,50884,4,40,160,13,4,2,16,13,12,30,10,18,14121,1337
89246,38447,89678,4,40,160,13,4,2,16,13,12,30,10,25,14350,504
135813,58898,136144,4,40,160,13,4,2,16,13,12,30,10,36,14727,433
159568,68138,160328,4,40,160,13,4,2,16,13,12,30,10,42,14819,589
197049,83653,199070,4,40,160,33,4,2,17,6,6,30,10,80,19338,851
47332,20811,47455,4,40,160,33,4,2,17,6,6,30,10,21,20403,734
84042,37484,84240,4,40,160,33,4,2,17,6,6,30,10,34,20685,272
116927,51770,117547,4,40,160,33,4,2,17,6,6,30,10,45,21438,238
142314,64026,142927,4,40,160,33,4,2,17,6,6,30,10,53,22343,234
162967,68858,165422,4,40,160,45,4,2,9,19,5,30,10,77,21305,633
44217,18316,44392,4,40,160,45,4,2,9,19,5,30,10,21,24514,563
76792,31519,77017,4,40,160,45,4,2,9,19,5,30,10,34,24354,319
97043,40101,97727,4,40,160,45,4,2,9,19,5,30,10,43,25177,294
122702,50642,122940,4,40,160,45,4,2,9,19,5,30,10,52,26208,289
185785,78568,188885,4,40,160,35,4,2,22,14,10,30,10,82,20245,1463
49193,21504,49274,4,40,160,35,4,2,22,14,10,30,10,22,22312,1261
93308,40687,93498,4,40,160,35,4,2,22,14,10,30,10,38,22000,403
130078,55676,131251,4,40,160,35,4,2,22,14,10,30,10,51,22891,264
157302,67739,158231,4,40,160,35,4,2,22,14,10,30,10,59,23636,276
120679,49783,122305,4,40,160,48,4,2,22,23,22,30,10,87,24190,4987
38869,16990,38266,4,40,160,48,4,2,22,23,22,30,10,21,28370,4057
69363,29794,69656,4,40,160,48,4,2,22,23,22,30,10,33,28835,849
99253,42518,99794,4,40,160,48,4,2,22,23,22,30,10,44,30274,707
130186,56277,130771,4,40,160,48,4,2,22,23,22,30,10,54,31651,593
190730,77735,194487,4,40,160,30,4,2,9,6,11,30,10,81,19033,1805
50596,21403,50587,4,40,160,30,4,2,9,6,11,30,10,20,20144,1537
90936,37891,91077,4,40,160,30,4,2,9,6,11,30,10,33,20620,465
128586,53752,128936,4,40,160,30,4,2,9,6,11,30,10,44,21800,412
157201,66576,157622,4,40,160,30,4,2,9,6,11,30,10,53,22385,510
134160,52530,137978,4,40,160,48,4,2,7,22,16,30,10,84,24203,3341
39794,13558,38717,4,40,160,48,4,2,7,22,16,30,10,19,27899,2931
69234,23555,69522,4,40,160,48,4,2,7,22,16,30,10,30,28401,722
99964,34190,100286,4,40,160,48,4,2,7,22,16,30,10,41,29415,616
129715,44983,130317,4,40,160,48,4,2,7,22,16,30,10,51,30705,525
218287,92536,220491,4,40,160,8,4,2,22,22,4,30,10,62,11816,445
