% cluster ARFF file
@relation cluster

@attribute onBoltRate numeric
@attribute joinBoltRate numeric
@attribute spoutRate numeric
@attribute supervisors numeric
@attribute cpu numeric
@attribute memory numeric
@attribute workers numeric
@attribute onBoltNumber numeric
@attribute joinBoltNumber numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric
@attribute cpu_used numeric
@attribute memory_used numeric
@attribute latency numeric

@data
197256,83559,199236,4,40,160,9,4,2,20,17,15,30,10,67,12530,2329
182666,77847,183079,4,40,160,6,4,2,6,17,4,30,10,55,11082,580
122827,51730,122912,4,40,160,6,4,2,12,10,12,30,10,47,11073,3364
227194,96852,228840,4,40,160,22,4,2,18,7,5,30,10,75,16691,569
226118,95763,228427,4,40,160,18,4,2,13,14,12,30,10,75,16701,1545
216550,90288,221372,4,40,160,22,4,2,10,12,16,30,10,80,17775,2422
199227,82158,201991,4,40,160,23,4,2,6,7,19,30,10,79,18408,3147
143274,56523,145323,4,40,160,44,4,2,9,7,17,30,10,85,23543,3590
121131,44730,123508,4,40,160,50,4,2,16,7,16,30,10,84,24064,4192
150373,59687,153138,4,40,160,48,4,2,7,21,10,30,10,83,23816,1910
226086,98788,228583,4,40,160,15,4,2,17,13,6,30,10,67,14836,685
152897,58461,157351,4,40,160,42,4,2,4,18,16,30,10,80,23217,3363
155145,66691,157030,4,40,160,45,4,2,15,7,5,30,10,77,20449,762
112125,45686,115212,4,40,160,50,4,2,20,21,23,30,10,86,24186,5450
140076,57720,142985,4,40,160,48,4,2,8,10,14,30,10,84,24079,2838
175396,69497,177396,4,40,160,18,4,2,14,6,21,30,10,73,16189,3909
148516,63535,149744,4,40,160,44,4,2,17,16,13,30,10,83,23059,2730
148093,61790,151509,4,40,160,42,4,2,22,20,19,30,10,86,23201,3502
159253,68179,160897,4,40,160,49,4,2,18,19,5,30,10,81,22894,658
215858,91786,218693,4,40,160,23,4,2,19,11,11,30,10,78,17737,1419
144609,57822,149032,4,40,160,39,4,2,4,8,23,30,10,81,22811,4953
201274,90721,205959,4,40,160,31,4,2,18,13,6,30,10,78,18598,669
179811,73018,184402,4,40,160,32,4,2,21,4,5,30,10,77,17912,824
139409,56993,141448,4,40,160,46,4,2,16,14,18,30,10,85,23601,3962
153105,63270,155112,4,40,160,48,4,2,11,19,7,30,10,81,22947,1138
177891,76458,182880,4,40,160,21,4,2,10,12,23,30,10,76,17663,4129
216504,94611,222039,4,40,160,24,4,2,15,10,5,30,10,74,16708,549
212345,93067,214785,4,40,160,30,4,2,22,22,5,30,10,79,19407,463
