@relation 'cluster-weka.filters.unsupervised.attribute.Remove-R2-6,8-9,15-17'

@attribute onBoltRate numeric
@attribute workers numeric
@attribute onBoltParallism numeric
@attribute joinBoltParallism numeric
@attribute spoutsParallism numeric
@attribute windowLength numeric
@attribute emitFrequency numeric

@data
140636,53,12,4,7,30,10
181275,21,15,11,22,30,10
131248,46,4,21,18,30,10
129184,44,15,17,20,30,10
192731,23,20,18,18,30,10
148820,47,12,12,11,30,10
170449,30,11,17,19,30,10
228076,13,12,15,15,30,10
178547,6,12,20,6,30,10
140970,53,8,18,11,30,10
200582,34,20,10,5,30,10
183151,34,12,19,8,30,10
150412,43,15,19,17,30,10
159409,35,18,19,17,30,10
166697,42,8,5,8,30,10
143797,40,14,23,17,30,10
126849,49,15,12,23,30,10
172366,8,10,23,16,30,10
129533,50,18,19,14,30,10
204839,25,8,15,21,30,10
182211,27,22,6,19,30,10
229606,20,18,17,14,30,10
94720,24,5,5,18,30,10
225621,14,9,12,21,30,10
179456,39,22,15,6,30,10
161450,33,23,23,23,30,10
159219,36,16,19,14,30,10
239517,15,12,13,19,30,10
255742,15,20,14,12,30,10
161467,44,20,13,6,30,10
195062,37,23,21,4,30,10
163146,42,22,15,11,30,10
139925,20,5,4,14,30,10
170112,40,16,4,4,30,10
163509,35,6,22,18,30,10
168776,39,6,11,8,30,10
137676,50,11,18,12,30,10
241450,19,17,9,7,30,10
26204,4,22,12,19,30,10
217109,18,17,10,14,30,10
161223,40,16,19,17,30,10
147984,8,21,4,4,30,10
219574,22,7,16,18,30,10
154342,45,5,9,16,30,10
246422,20,11,17,10,30,10
182181,38,4,18,9,30,10
108206,50,22,23,21,30,10
144435,50,4,17,11,30,10
146613,47,9,9,7,30,10
15475,4,9,5,21,30,10
169908,41,20,17,8,30,10
178292,35,5,7,16,30,10
217847,18,13,13,18,30,10
200102,23,14,9,17,30,10
158927,37,4,19,14,30,10
148693,6,4,11,8,30,10
75741,6,6,10,23,30,10
151828,45,10,20,10,30,10
135185,4,18,16,4,30,10
110968,8,13,9,17,30,10
139272,41,16,16,20,30,10
136990,52,12,11,8,30,10
223815,12,8,8,15,30,10
169163,5,19,10,4,30,10
209703,26,19,19,12,30,10
187640,28,18,14,18,30,10
181719,35,8,22,11,30,10
162755,40,20,13,14,30,10
170417,33,4,20,20,30,10
153923,36,19,19,17,30,10
110280,53,18,4,14,30,10
157470,9,12,5,10,30,10
157944,39,9,9,13,30,10
126061,51,15,15,16,30,10
237627,17,19,23,5,30,10
211196,24,13,15,15,30,10
238868,14,7,8,8,30,10
177000,11,11,17,21,30,10
148816,34,22,12,22,30,10
118959,41,21,12,22,30,10
6592,4,19,20,21,30,10
144655,42,9,16,23,30,10
257877,20,6,21,4,30,10
176900,31,10,23,16,30,10
111409,53,6,19,22,30,10
115876,50,14,5,23,30,10
199420,27,5,17,16,30,10
159462,30,18,6,22,30,10
217060,8,13,20,4,30,10
213330,13,19,12,20,30,10
265274,15,4,19,4,30,10
216233,26,14,16,6,30,10
144695,47,9,17,16,30,10
222502,19,7,14,12,30,10
144137,48,23,18,16,30,10
212028,8,5,20,6,30,10
114591,46,22,18,21,30,10
72281,7,16,5,23,30,10
148528,51,6,20,7,30,10
199907,34,19,11,5,30,10
133223,46,7,18,21,30,10
209456,25,5,17,20,30,10
212779,9,6,7,9,30,10
172864,42,19,14,7,30,10
216792,22,6,13,13,30,10
188537,27,8,22,22,30,10
190517,35,5,13,10,30,10
156495,34,9,5,10,30,10
201717,7,21,21,5,30,10
72664,6,14,9,22,30,10
121015,51,19,11,13,30,10
201372,10,4,11,5,30,10
223257,18,10,7,4,30,10
217620,20,11,23,23,30,10
182753,40,19,7,13,30,10
83197,6,11,4,14,30,10
182234,28,19,5,17,30,10
143288,7,7,10,12,30,10
79762,5,15,13,16,30,10
220454,28,5,12,4,30,10
238900,18,22,17,4,30,10
183225,26,21,12,18,30,10
184328,21,5,12,16,30,10
133852,46,8,21,20,30,10
159397,5,16,18,4,30,10
124367,51,22,21,19,30,10
217536,28,11,9,6,30,10
179417,32,11,4,12,30,10
218062,25,8,18,16,30,10
221354,11,15,21,6,30,10
138828,52,7,16,9,30,10
121735,5,7,22,10,30,10
229057,27,23,9,4,30,10
212146,11,4,9,8,30,10
250899,9,5,18,4,30,10
174226,35,4,16,16,30,10
208285,21,14,7,4,30,10
158742,40,15,23,14,30,10
154119,39,13,7,15,30,10
155084,9,15,4,8,30,10
153915,37,8,20,19,30,10
174268,36,20,14,11,30,10
94800,6,15,23,19,30,10
125703,53,14,11,18,30,10
208401,26,14,14,7,30,10
173924,11,13,10,21,30,10
192516,8,19,16,12,30,10
208476,32,13,21,5,30,10
93222,7,14,23,23,30,10
210960,30,9,15,12,30,10
215437,26,19,18,9,30,10
159910,48,22,15,5,30,10
228626,23,14,9,8,30,10
143841,53,13,10,8,30,10
169745,41,19,20,6,30,10
141216,48,11,19,11,30,10
144686,36,14,12,22,30,10
65693,6,22,16,23,30,10
217153,13,14,12,21,30,10
165896,37,12,9,18,30,10
176057,33,23,8,13,30,10
193365,26,5,10,16,30,10
189211,24,21,6,19,30,10
152974,41,14,9,9,30,10
122963,45,19,19,20,30,10
231756,16,7,15,4,30,10
80050,6,9,13,20,30,10
229004,22,10,17,11,30,10
211335,23,17,23,12,30,10
189379,30,9,11,23,30,10
178896,33,21,21,19,30,10
141697,20,8,4,11,30,10
143961,7,10,5,9,30,10
166096,6,10,11,6,30,10
225237,20,7,11,20,30,10
123060,51,13,12,13,30,10
225121,13,9,14,15,30,10
182113,40,9,14,5,30,10
207274,22,5,19,18,30,10
149172,40,16,23,14,30,10
214973,14,21,18,18,30,10
147723,43,18,17,17,30,10
156240,49,9,20,4,30,10
121506,51,5,22,19,30,10
158834,37,11,23,17,30,10
154781,50,11,9,5,30,10
201076,23,15,19,21,30,10
220915,29,16,15,4,30,10
152016,42,20,8,20,30,10
188458,23,5,9,18,30,10
162591,35,19,21,16,30,10
179325,27,16,21,23,30,10
154804,36,4,9,19,30,10
153665,37,16,20,22,30,10
92998,5,5,11,13,30,10
230722,25,18,8,9,30,10
172880,48,5,6,4,30,10
217450,24,7,18,9,30,10
113696,22,11,6,21,30,10
171607,38,5,12,19,30,10
140419,36,20,15,22,30,10
175483,35,9,5,16,30,10
174914,45,7,13,4,30,10
166901,36,6,9,13,30,10
167687,31,4,9,17,30,10
190749,33,7,18,14,30,10
198122,30,8,11,16,30,10
91567,5,16,23,15,30,10
197715,22,16,6,19,30,10
151568,39,4,7,20,30,10
166880,36,10,7,8,30,10
184008,11,13,6,15,30,10
178100,42,4,17,13,30,10
157641,6,15,21,5,30,10
259794,15,7,12,9,30,10
238657,25,8,16,4,30,10
176513,38,18,18,10,30,10
185593,16,23,12,19,30,10
86541,12,18,4,23,30,10
210372,10,23,12,9,30,10
162383,7,8,21,15,30,10
216237,8,14,16,5,30,10
246901,20,9,19,13,30,10
237702,19,8,15,16,30,10
109004,49,9,17,22,30,10
224641,23,4,18,6,30,10
147440,50,21,4,6,30,10
182911,26,9,9,16,30,10
155504,52,23,23,6,30,10
122296,44,14,13,18,30,10
190361,32,22,22,15,30,10
188411,32,6,13,15,30,10
168611,37,6,23,17,30,10
177996,12,18,7,16,30,10
168722,33,6,14,22,30,10
231945,20,17,10,9,30,10
219627,17,14,19,14,30,10
161453,11,11,6,17,30,10
179696,37,8,21,10,30,10
87107,4,20,8,10,30,10
162869,26,19,12,23,30,10
192002,31,23,15,5,30,10
179515,21,20,18,21,30,10
115396,4,17,20,7,30,10
211410,21,10,15,9,30,10
210213,16,10,21,12,30,10
210816,24,8,13,14,30,10
183747,14,8,7,16,30,10
233514,13,12,16,6,30,10
153783,40,13,13,23,30,10
209573,22,22,19,13,30,10
149337,41,13,20,13,30,10
157699,48,8,21,9,30,10
237067,20,16,14,10,30,10
224324,19,6,6,5,30,10
188413,32,8,11,16,30,10
120699,51,14,4,13,30,10
128253,46,17,13,15,30,10
131879,47,7,16,23,30,10
87649,6,19,7,16,30,10
159653,40,20,6,18,30,10
151000,47,21,6,17,30,10
208954,17,15,20,14,30,10
209524,26,17,17,4,30,10
185390,29,6,9,21,30,10
189948,36,17,19,7,30,10
118764,16,17,4,7,30,10
191561,16,7,6,4,30,10
158263,52,4,20,5,30,10
243657,10,4,14,4,30,10
204710,34,5,17,7,30,10
172274,11,4,7,18,30,10
216937,10,19,21,13,30,10
153415,45,4,19,9,30,10
132342,13,9,5,21,30,10
225048,10,20,8,9,30,10
191705,16,9,9,21,30,10
206542,30,16,10,11,30,10
167677,32,22,10,18,30,10
88980,4,5,12,10,30,10
172771,11,9,23,21,30,10
135338,49,11,18,10,30,10
221883,23,21,15,9,30,10
160456,38,5,5,10,30,10
124915,51,21,14,17,30,10
173763,31,18,14,17,30,10
169959,38,4,6,8,30,10
238772,14,10,23,12,30,10
151069,42,12,15,18,30,10
29783,5,13,12,21,30,10
187764,35,17,5,5,30,10
193170,13,10,15,21,30,10
213277,13,11,13,22,30,10
127072,49,6,17,9,30,10
179321,31,19,19,11,30,10
219558,27,15,10,7,30,10
189131,29,7,12,15,30,10
147552,5,15,12,5,30,10
155011,46,4,7,14,30,10
186794,21,14,13,19,30,10
200888,37,4,23,6,30,10
160446,47,7,21,7,30,10
117040,53,19,21,21,30,10
159472,44,6,16,8,30,10
204068,30,23,11,5,30,10
221718,30,9,15,4,30,10
145632,11,17,6,19,30,10
166065,42,11,21,10,30,10
182255,31,23,10,7,30,10
187731,37,18,7,5,30,10
200381,13,14,15,20,30,10
184994,40,12,8,5,30,10
199181,27,10,21,11,30,10
168368,26,19,22,22,30,10
163240,44,16,14,4,30,10
186047,31,14,20,10,30,10
213793,28,17,21,7,30,10
